"parkingSpaces","size","alarmSystem","gameRoom","furnished","securityCabin","pipedGas","propertyPrice","playGround","swimmingPool","barbecueGrill","score","latitude","longitude","bedrooms","monthlyFees","rentalPrice","propertyType","steamRoom","gym","neighborhood","id","suites","permanentDoorman","m2RentalPrice","link"
1,120,"False","False","False","False","True",0,"False","False","False",118,-19.945336,-43.950653,3,423.11,1280,"apartamento","False","False","luxemburgo",524957,1,"False",10.6666666666667,"https://www.netimoveis.com/imovel/dummy/524957"
1,69.44,"False","False","False","False","False",0,"False","False","False",118,-19.8904915,-43.9990046,3,111.11,1300,"apartamento","False","False","castelo",672640,1,"False",18.721198156682,"https://www.netimoveis.com/imovel/dummy/672640"
1,69.44,"False","False","False","False","False",0,"False","False","False",118,-19.8904915,-43.9990046,3,111.11,1300,"apartamento","False","False","pampulha",672640,1,"False",18.721198156682,"https://www.netimoveis.com/imovel/dummy/672640"
2,75,"False","False","False","False","False",0,"False","False","False",118,-19.9672204461863,-43.9685001158691,4,280,1300,"apartamento","False","False","buritis",106902,1,"True",17.3333333333333,"https://www.netimoveis.com/imovel/dummy/106902"
2,100,"False","False","False","False","False",0,"False","False","False",118,-19.885395,-43.920204,3,300,1380,"apartamento","False","False","cidade-nova",688696,1,"False",13.8,"https://www.netimoveis.com/imovel/dummy/688696"
1,110,"False","False","False","False","False",0,"False","False","False",118,-19.8861303,-43.9291713,3,350,1400,"apartamento","False","False","cidade-nova",504423,1,"False",12.7272727272727,"https://www.netimoveis.com/imovel/dummy/504423"
1,110,"False","False","False","False","False",0,"False","False","False",118,-19.8861303,-43.9291713,3,350,1400,"apartamento","False","False","uniao",504423,1,"False",12.7272727272727,"https://www.netimoveis.com/imovel/dummy/504423"
1,50,"False","False","True","False","False",0,"False","True","True",118,-19.9460577,-43.9429852,1,565.3,1600,"apartamento","True","False","santo-antonio",272950,0,"True",32,"https://www.netimoveis.com/imovel/dummy/272950"
3,81,"False","False","False","False","False",0,"False","True","True",118,-19.970697,-43.9725491,3,640,1700,"apartamento","False","True","buritis",696182,1,"False",20.9876543209877,"https://www.netimoveis.com/imovel/dummy/696182"
2,100,"False","False","False","False","True",0,"False","False","False",118,-19.97119,-43.969927,3,500,1700,"apartamento","False","False","buritis",179531,1,"False",17,"https://www.netimoveis.com/imovel/dummy/179531"
2,85,"False","False","False","False","True",0,"True","True","False",118,-19.9756779,-43.973821,3,400,1900,"apartamento","True","True","buritis",696492,1,"True",22.3529411764706,"https://www.netimoveis.com/imovel/dummy/696492"
2,110,"False","False","False","False","False",0,"False","False","False",118,-19.9462993,-43.9263335,3,827.3,2100,"apartamento","False","False","anchieta",677512,1,"False",19.0909090909091,"https://www.netimoveis.com/imovel/dummy/677512"
2,80,"False","False","False","False","True",0,"False","False","False",118,-19.936641,-43.9239037,3,330,2100,"apartamento","False","False","serra",555600,1,"False",26.25,"https://www.netimoveis.com/imovel/dummy/555600"
1,100,"False","False","False","False","False",0,"False","False","False",118,-19.9608385,-43.9519858,3,290,2300,"apartamento","False","False","santa-lucia",686391,1,"False",23,"https://www.netimoveis.com/imovel/dummy/686391"
1,100,"False","False","False","False","False",0,"False","False","False",118,-19.9608385,-43.9519858,3,290,2300,"apartamento","False","False","sao-bento",686391,1,"False",23,"https://www.netimoveis.com/imovel/dummy/686391"
1,100,"False","False","False","False","True",0,"False","False","False",118,-19.949277,-43.927494,2,630.85,2300,"apartamento","False","False","anchieta",658812,1,"False",23,"https://www.netimoveis.com/imovel/dummy/658812"
3,160,"False","False","False","False","False",0,"False","False","False",118,-19.948407,-43.95803,4,880.65,2500,"apartamento","False","False","luxemburgo",666528,1,"False",15.625,"https://www.netimoveis.com/imovel/dummy/666528"
2,205.53,"False","False","False","True","True",0,"False","True","False",118,-19.9419084,-43.9458555,3,1451.63,2500,"apartamento","False","False","santo-antonio",677116,1,"True",12.1636744027636,"https://www.netimoveis.com/imovel/dummy/677116"
